Title,Vendor,Category,Sub Category,Guidance,Price,Prerequisite,
C_EPMBPC_11 - SAP Certified Application Associate - SAP Business Planning and Consolidation 10.1 and 11.0,SAP,SAP,SAP Record to Report ,View Details,,,
C_S4CFI_2202 - SAP Certified Application Associate - SAP S/4HANA Cloud (public) - Finance Implementation,SAP,SAP,SAP Record to Report ,View Details,,,
C_S4CPS_2202 - SAP Certified Application Associate - SAP S/4HANA Cloud (public) – Professional Services Implementation,SAP,SAP,SAP Record to Report ,View Details,,,
C_S4FCF_2020 - SAP Certified Application Associate - Central Finance in SAP S/4HANA,SAP,SAP,SAP Record to Report ,View Details,,,
C_S4FTR_1909 - SAP Certified Application Associate Treasury with SAP S/4HANA,SAP,SAP,SAP Record to Report ,View Details,,,
C_S4FTR_2020 - SAP Certified Application Associate - Treasury with SAP S/4HANA (SAP S/4HANA 2020),SAP,SAP,SAP Record to Report ,View Details,,,
C_S4PPM_1909 - SAP Certified Application Associate - SAP S/4HANA Portfolio and Project Management,SAP,SAP,SAP Record to Report ,View Details,,,
C_TS4FI_2020 - SAP Certified Application Associate - SAP S/4HANA for Financial Accounting Associates (SAP S/4HANA 2020),SAP,SAP,SAP Record to Report ,View Details,,,
P_S4FIN_2021 - SAP Certified Application Professional - Financials in SAP S/4HANA for SAP ERP Finance Experts (SAP S/4HANA 2021),SAP,SAP,SAP Record to Report ,View Details,,,
C_TS412_1909 - SAP Certified Application Associate - SAP S/4HANA Project Systems,SAP,SAP,SAP Record to Report ,View Details,,,
C_TS413_2020 - SAP Certified Application Associate - SAP S/4HANA Asset Management,SAP,SAP,SAP Record to Report ,View Details,,,
C_SACP_2120 - SAP Certified Application Associate - SAP Analytics Cloud: Planning,SAP,SAP,SAP Record to Report ,View Details,,,
C_TS4CO_2020 - SAP Certified Application Associate - SAP S/4HANA for Management Accounting (SAP S/4HANA 2020),SAP,SAP,SAP Record to Report ,View Details,,,
C_TS4FI_1909 - SAP Certified Application Associate - SAP S/4HANA for Financial Accounting Associates (SAP S/4HANA 1909),SAP,SAP,SAP Record to Report ,View Details,,,
C_C4H410_04 - SAP Certified Application Associate – SAP Sales Cloud 2011,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_C4H420_13 - SAP Certified Application Associate - SAP CPQ Implementation,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_C4H430_94 - SAP Certified Application Associate - SAP Commissions Implementation,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_C4H450_04 - SAP Certified Integration Associate – SAP Cloud for Customer,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_C4H460_04 - SAP Certified Development Associate – SAP Cloud for Customer 2011,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_C4H510_04 - SAP Certified Application Associate – SAP Service Cloud 2011,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_C4H520_02 - SAP Certified Application Associate - SAP Field Service Management 2005,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_C4H620_03 - SAP Certified Development Associate - SAP Customer Data Cloud,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_TS460_1909 - SAP Certified Application Associate - SAP S/4HANA Sales 1909 Upskilling,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_TS460_2020 - SAP Certified Application Associate - SAP S/4HANA Sales 2020 Upskilling,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_TS462_1909 - SAP Certified Application Associate - SAP S/4HANA Sales 1909,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_TS462_2020 - SAP Certified Application Associate – SAP S/4HANA Sales 2020,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_S4CSV_2202 - SAP Certified Application Associate - SAP S/4HANA Cloud (public) - Service Implementation,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_S4CS_2202 - SAP Certified Application Associate - SAP S/4HANA Cloud (public) - Sales Implementation,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_BRSOM_2020 - SAP Certified Application Associate - SAP Billing and Revenue Innovation Mgmt. - Subscription Order Management,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_BRU2C_2020 - SAP Certified Application Associate - SAP Billing and Revenue Innovation Management - Usage to Cash,SAP,SAP,SAP C4C & S/4 HANA Sales and Service,View Details,,,
C_CPE_13 - SAP Certified Development Associate - SAP Extension Suite,SAP,SAP,SAP Technical Development & Mobile Services,View Details,,,
C_CPI_14 - SAP Certified Development Associate - SAP Integration Suite,SAP,SAP,SAP Technical Development & Mobile Services,View Details,,,
C_FIORDEV_21 - SAP Certified Development Associate - SAP Fiori Application Developer,SAP,SAP,SAP Technical Development & Mobile Services,View Details,,,
C_HANADEV_17 - SAP Certified Development Associate - SAP HANA 2.0 SPS05,SAP,SAP,SAP Technical Development & Mobile Services,View Details,,,
C_MDG_1909 - SAP Certified Application Associate - Master Data Governance,SAP,SAP,SAP Technical Development & Mobile Services,View Details,,,
C_S4CDK_2022 - SAP Certified Development Associate - SAP Cloud SDK Extensibility Developer,SAP,SAP,SAP Technical Development & Mobile Services,View Details,,,
E_HANAAW_17 - SAP Certified Development Specialist - ABAP for SAP HANA 2.0,SAP,SAP,SAP Technical Development & Mobile Services,View Details,,,
C_GRCAC_12 - SAP Certified Application Associate - SAP Access Control 12.0,SAP,SAP,SAP Technical Infrastructure services,View Details,,,
C_HANATEC_17 - SAP Certified Technology Associate - SAP HANA 2.0 SPS05,SAP,SAP,SAP Technical Infrastructure services,View Details,,,
"C_SM100_7210 - SAP Certified Technology Associate - SAP Solution Manager, Mandatory and Managed System Configuration (7.2 SPS10)",SAP,SAP,SAP Technical Infrastructure services,View Details,,,
E_S4HCON2022 - SAP Certified Technology Specialist - SAP S/4HANA Conversion and SAP System Upgrade,SAP,SAP,SAP Technical Infrastructure services,View Details,,,
C_FIOAD_1909 - SAP Certified Technology Associate - SAP Fiori System Administration,SAP,SAP,SAP Technical Infrastructure services,View Details,,,
C_TADM_21 - SAP Certified Technology Associate - SAP S/4HANA System Administration,SAP,SAP,SAP Technical Infrastructure services,View Details,,,
P_SECAUTH_21 - SAP Certified Technology Professional - System Security Architect,SAP,SAP,SAP Technical Infrastructure services,View Details,,,
"C_BW4HANA_27 - SAP Certified Application Associate - Reporting, Modeling and Data Acquisition with SAP BW/4HANA 2.x",SAP,SAP,SAP Data & Analytics,View Details,,,
C_DS_42 - SAP Certified Application Associate - Data Integration with SAP Data Services 4.2,SAP,SAP,SAP Data & Analytics,View Details,,,
C_HANAIMP_17 - SAP Certified Application Associate - SAP HANA 2.0 (SPS05),SAP,SAP,SAP Data & Analytics,View Details,,,
C_SAC_2120 - SAP Certified Application Associate - SAP Analytics Cloud,SAP,SAP,SAP Data & Analytics,View Details,,,
E_BW4HANA207 - SAP Certified Application Specialist – SAP BW/4HANA 2.0 Delta,SAP,SAP,SAP Data & Analytics,View Details,,,
C_HRHFC_2111 - SAP Certified Integration Associate - SAP SuccessFactors Full Cloud/Core Hybrid 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_HRHPC_2111 - SAP Certified Application Associate - SAP SuccessFactors for Employee Central Payroll 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR81_2111 - SAP Certified Application Associate - SAP SuccessFactors Employee Central Core 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR82_2111 - SAP Certified Application Associate - SAP SuccessFactors Performance and Goal Management 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR83_2111 - SAP Certified Application Associate - SAP SuccessFactors Recruiting: Recruiter Experience 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR84_2111 - SAP Certified Application Associate - SAP SuccessFactors Recruiting: Candidate Experience 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR85_2111 - SAP Certified Application Associate - SAP SuccessFactors Succession Management 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR86_2111 - SAP Certified Application Associate - SAP SuccessFactors Compensation 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR87_2111 - SAP Certified Application Associate - SAP SuccessFactors Variable Pay 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR88_2111 - SAP Certified Application Associate - SAP SuccessFactors Learning Management 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR89_2111 - SAP Certified Application Associate – SAP SuccessFactors Workforce Analytics & Planning Functional Consultant 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR92_2111 - SAP Certified Application Associate - SAP SuccessFactors People Analytics: Reporting 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR95_2111 - SAP Certified Application Associate - SAP SuccessFactors Career Development Planning and Mentoring 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR96_2111 - SAP Certified Application Associate - SAP SuccessFactors Workforce Analytics Technical Consultant 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_THR97_2111 - SAP Certified Application Associate – SAP SuccessFactors Onboarding 2H/2021,SAP,SAP,SAP Success Factor ,View Details,,,
C_SEN_2011 - SAP Certified Application Associate - SAP Enable Now,SAP,SAP,SAP Success Factor ,View Details,,,
C_HCMPAY_67 - SAP Certified Application Associate - SAP HCM Payroll with ERP 6.0 EHP7,SAP,SAP,SAP HCM ,View Details,,,
C_THR12_67 - SAP Certified Application Associate - SAP HCM with ERP 6.0 EHP7,SAP,SAP,SAP HCM ,View Details,,,
Adobe Certified Professional - Magento Commerce Developer,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,225,USD,
Adobe Certified Expert - Magento Commerce Business Practitioner,ADOBE,Customer Transformation,Marketing Platforms,https://spark.adobe.com/page/87jLctNB6KxM0/,225,USD,
Adobe Certified Expert - Magento Commerce Front-End Developer,ADOBE,Customer Transformation,Marketing Platforms,https://spark.adobe.com/page/lJWBfPhvp5npA/,225,USD,
Adobe Certified Expert - Magento Commerce JavaScript Developer,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,225,USD,
Adobe Certified Expert - Magento Commerce Cloud Developer,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,225,USD,
Adobe Certified Expert - Magento Commerce Developer,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Certified Master - Magento Commerce Architect,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,225,USD,
Adobe Certified Expert - Adobe Analytics Developer,ADOBE,Customer Transformation,Marketing Platforms,https://spark.adobe.com/page/wyNS9qMPwke75/,225,USD,
Adobe Certified Expert - Adobe Experience Manager Forms Developer,ADOBE,Customer Transformation,Marketing Platforms,https://spark.adobe.com/page/85s47nj3DEves/,225,USD,
Adobe Certified Expert - Adobe Experience Manager Sites Developer,ADOBE,Customer Transformation,Marketing Platforms,https://spark.adobe.com/page/xHrRpsYWplZF0/,225,USD,
Adobe Certified Expert - Adobe Analytics Business Practitioner,ADOBE,Customer Transformation,Marketing Platforms,https://spark.adobe.com/page/YE2LmMFoA0V6Q/,225,USD,
Adobe Certified Expert - Adobe Campaign Standard Business Practitioner,ADOBE,Customer Transformation,Marketing Platforms,https://spark.adobe.com/page/gBc50AevVDzeu/,225,USD,
Adobe Certified Expert - Adobe Experience Manager Sites Business Practitioner,ADOBE,Customer Transformation,Marketing Platforms,https://spark.adobe.com/page/5RXFtBqPlV4mc/,225,USD,
Adobe Campaign Classic Developer Professional,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Google Cloud Certified Professional Cloud Developer,GOOGLE,Multi Cloud,Google,https://grow.google/certificates,0,INR,
Magento 2 Certified Professional Developer,SALESFORCE,Customer Transformation,Salesforce,https://trailhead.salesforce.com/credentials/administratoroverview/,0,INR,
Adobe Analytics Developer Expert,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Experience Manager Developer expert,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Campaign Classic Developer Expert,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Campaign Standard Developer Expert,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Experience Manager Forms Developer Expert,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Experience Manager Sites Developer Renewal,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Campaign Classic Business Practitioner Professional,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Campaign Standard Developer Expert (Renewal),ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Certified Expert - Marketo Engage Business Practitioner,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Certified Expert - Marketo Engage Business Practitioner,ADOBE,Customer Transformation,Marketing Platforms,https://spark.adobe.com/page/0QLflTQQAC8jd/,225,USD,
IBM Certified Developer - Cloud Pak for Applications v4.1 (C0007300),IBM,Hybrid Cloud Transformation,Cloud Application Development,https://www.ibm.com/certify/cert?id=C0007300,118,USD,
Blue Prism Certified Professional Developer,BLUEPRISM,Hybrid Cloud Management,Automation,https://www.blueprism.com/,14000,INR,
Salesforce Certified B2C Commerce Developer,SALESFORCE,Customer Transformation,Salesforce,https://trailhead.salesforce.com/credentials/administratoroverview/,17500,INR,
Adobe Sign Essentials,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Marketo Certified Expert,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Analytics Architect Master,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Target Architect Master,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Campaign Classic Architect Master,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Analytics Business Practitioner Expert,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Target Business Practitioner Expert,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Audience Manager Architect Master,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Experience Manager Sites Business Practitioner,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Experience Manager DevOps Engineer Expert,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Experience Manager Sites Architect Master,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Campaign Standard Business Practitioner Expert,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Campaign Classic Business Practitioner Expert,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Audience Manager Business Practitioner Expert,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Experience Manager Sites ArchitectÂ Master Renewal,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Campaign Standard Business Practitioner Expert renewal,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Adobe Experience Manager Sites Business Practitioner  Expert Renewal,ADOBE,Customer Transformation,Marketing Platforms,https://learning.adobe.com/certification,200,USD,
Salesforce Certified Platform Developer I,SALESFORCE,Customer Transformation,Salesforce,https://trailhead.salesforce.com/help?article=Salesforce-Certified-Platform-Developer-I-Exam-Guide,17500,INR,
IBM Certified Application Developer - Operational Decision Manager Standard V8.9.1,IBM,Hybrid Cloud Transformation,Cross-HCT,https://www.ibm.com/certify,118,USD,
HCL Commerce V9 Developer,DIG_COM,Customer Transformation,Digital Commerce,https://help.hcltechsw.com/commerce/,18000,INR,
Salesforce Certified Platform Developer II,SALESFORCE,Customer Transformation,Salesforce,https://trailhead.salesforce.com/help?article=Salesforce-Certified-Platform-Developer-II-Exam-Guide,17500,INR,
Certified Slenium Professional,VSKILLS,Hybrid Cloud Management,iGNITE (Test Innovation),https://www.vskills.in/certification/certified-selenium-professional,5000,INR,
Splunk Certified Developer,SPLUNK,Data & Technology Transformation,Cross-DTT,https://www.splunk.com,156,USD,
HDP Certified Developer,CLOUD_ERA,Data & Technology Transformation,Data Platform Services,https://www.cloudera.com/,22125,INR,
Certified DevOps Developer,GSDCC,Cross Platform,Agile,https://www.gsdcouncil.org,14160,INR,
Professional Scrum Developer,SCRUM_ORG,Cross Platform,Agile,https://www.scrum.org/professional-scrum-certifications,20000,INR,Practitioners must have the IBM Agile Explorer badge. Practitioners must have knowledge and understanding of Scrum and their ability to build software using Scrum in real-world situations..  Please nominate only if this certification is aligned towards Business or Organisational Requirement.
IBM Certified Solution Advisor - IBM Cloud Foundations V2 (C0002201),IBM,Hybrid Cloud Transformation,Cloud Application Development,https://www.ibm.com/certify/cert?id=C0002201,230,USD,
Offensive Security Certified Professional,OFFENSIVE_SECURITY,Hybrid Cloud Transformation,Security & Privacy,https://www.offensive-security.com/,105000,INR,
Certified Business Analysis Professional,IIBA,Data & Technology Transformation,Cognitive & Analytics,https://www.iiba.org/,53098.82,INR,
Acquia Certified Developer - D9,ACQUIA,Data & Technology Transformation,Cross-DTT,https://acquia-academy.gitbook.io/study-guide-acquia-certified-drupal-9-developer-ex/about-the-exam,17228,INR,
Teradata 12 Certified Professional,TERADATA,Data & Technology Transformation,Data Platform Services,https://www.teradata.com/,10620,INR,
Teradata 14 Certified Professional,TERADATA,Data & Technology Transformation,Data Platform Services,https://www.teradata.com/,11800,INR,
Certified Supply Chain Professional,APICS,Industries,Cross-Industry,https://www.ascm.org/,95500,INR,
Vlocity Certified Platform Developer,SALESFORCE,Customer Transformation,Salesforce,https://trailhead.salesforce.com,18000,INR,
AWS Certified Developer - Associate,AWS,Multi Cloud,AWS,https://aws.amazon.com/certification/,0,INR,
Certified Change Management Professional,ACMP,Talent Transformation,Cross-TT,https://www.acmpglobal.org/page/ccmp,54500,INR,
SailPoint Certified IdentityIQ Professional,SAIL_POINT,Hybrid Cloud Transformation,Security & Privacy,https://university.sailpoint.com/,28000,INR,
CCSP - Certified Cloud Security Professional :,CSA,Hybrid Cloud Transformation,Security & Privacy,https://www.isc2.org/Certifications/CCSP,750,USD,
Certified Information Systems Security Professional,NICCS,Hybrid Cloud Transformation,Security & Privacy,https://www.isaca.org/,52425,INR,
Okta Certified Professional - Level 1,OKTA,Hybrid Cloud Transformation,Security & Privacy,https://www.okta.com/services/certification/,23000,INR,
Ping Identity Certified Professional - PingFederate,PING_IDENTITY,Hybrid Cloud Transformation,Security & Privacy,https://www.pingidentity.com,18500,INR,
AA Certified Advanced RPA Professional,AAU,Hybrid Cloud Management,Automation,https://www.automationanywhere.com,0,INR,
UiPath Certified Advanced RPA Developer,AAU,Hybrid Cloud Management,Automation,https://www.automationanywhere.com,18000,INR,
AA Certified Master RPA Professional,AAU,Hybrid Cloud Management,Automation,https://www.automationanywhere.com,0,INR,
MuleSoft Certified Developer â€“ Level 1,MULESOFT,Hybrid Cloud Management,Custom AMS,https://www.mulesoft.com/,30975,INR,
Certified Hyperledger Fabric Developer (CHFD),LINUX_FOUND,Data & Technology Transformation,Data Platform Services,https://training.linuxfoundation.org/,26550,INR,
ICAgile Certified Professional - Agile Coaching,IC_AGILE,Cross Platform,Agile,https://www.icagile.com/,47200,INR,"Please ensure you seek Agile Comptency Lead/SAL approval prior to submiting the certification request.Should be employed in IBM for >1 year . Must be senior 7B and above, Mandatory to have IBM Agile Coach badge AND (CSM, PSM or any SAFe certifications).Practitioners must have atleast 4 years active experience as Scrum Master, Agile Coach, Agile Project Manager or Product Owner, etc. . It's recommended to have Agile Coach JRSS - Application Consultant -DevOps.Please nominate only if this certification is aligned towards Business or Organisational Requirement."
Salesforce Certified Marketing Cloud Developer,SALESFORCE,Customer Transformation,Salesforce,https://trailhead.salesforce.com/credentials/administratoroverview/,0,INR,
Salesforce Certified JavaScript Developer I,SALESFORCE,Customer Transformation,Salesforce,https://trailhead.salesforce.com/help?article=Salesforce-Certified-Platform-Developer-I-Exam-Guide,200,USD,
AWS Certified DevOps Engineer - Professional,AWS,Multi Cloud,AWS,https://aws.amazon.com/certification/,0,INR,
AWS Certified Solutions Architect - Professional,AWS,Hybrid Cloud Transformation,Complex SI & Architecture,https://aws.amazon.com/certification/,0,INR,
Blue Prism Certified Developer Exam,BLUEPRISM,Hybrid Cloud Management,Automation,https://www.blueprism.com/,14000,INR,
CDMP (Certified Data Management Professional),ACMP,Talent Transformation,Cross-TT,https://www.acmpglobal.org,367,USD,
IBM Certified Developer - Business Automation,IBM,Hybrid Cloud Transformation,Cross-HCT,https://www.ibm.com/certify/,118,USD,
Certified Kanban Management Professional (KMP2),LKU,Cross Platform,Agile,https://resources.kanban.university,45200,INR,
VMware Certified Professional 6 - Network Virtualization,VMWARE,Hybrid Cloud Transformation,Security & Privacy,https://www.vmware.com,350,USD,
CIPP/E Certified Information Privacy Professional,CSA,Hybrid Cloud Transformation,Security & Privacy,https://iapp.org/certify/cipp/,50000,INR,
Certified Secure Software Lifecycle Professional (CSSLP),ISC2,Hybrid Cloud Transformation,Security & Privacy,https://www.isc2.org/Certifications/CSSLP#,55000,INR,
WebMethods Certified ESB Developer 9.x,SOFTWARE_AG,Hybrid Cloud Management,Custom AMS,https://knowledge.softwareag.com/,15340,INR,
Sitecore Certified Platform Associate Developer Exam,SALESFORCE,Customer Transformation,Salesforce,https://trailhead.salesforce.com/credentials/administratoroverview/,0,INR,
MuleSoft Certified Developer â€“ Integration and API Associate,MULESOFT,Hybrid Cloud Management,Custom AMS,https://www.mulesoft.com/,17700,INR,
"Oracle Certified Professional, Java SE 6 Programmer",ORACLE,Hybrid Cloud Management,Custom AMS,https://education.oracle.com/certification,20060,INR,
"Oracle Certified Professional, Java SE 8 Programmer",ORACLE,Hybrid Cloud Management,Custom AMS,https://education.oracle.com/certification,20060,INR,
Talend Data Integration v7 Certified Developer Exam,TALEND,Hybrid Cloud Management,Custom AMS,https://www.talend.com/,11210,INR,
IBM Certified Deployment Professional - Datacap V9.0,IBM,Data & Technology Transformation,Data Platform Services,http://www.ibm.com/certify,14160,INR,
IBM Certified Professional SRE - Cloud v1 (C0007800),IBM,Hybrid Cloud Transformation,Cloud Application Development,https://www.ibm.com/certify/cert?id=C0007800,230,USD,
Blue Prism Certified Associate Developer Exam (ASDEV01),BLUEPRISM,Hybrid Cloud Management,Automation,https://www.blueprism.com/,13000,INR,
IBM Certified Developer - Datacap V9.1.8,IBM,Hybrid Cloud Transformation,Cross-HCT,https://www.ibm.com/certify,118,USD,
Certified Information Systems Security Professional Exam (CIISP),ISC,Hybrid Cloud Transformation,Security & Privacy,https://www.isc2.org,937,USD,
IBM Certified Solution Developer - Integration Bus v10.0,IBM,Hybrid Cloud Management,Custom AMS,http://www.ibm.com/certify,14160,INR,
SAS Certified Data Integration Developer for SAS 9,SAS,Data & Technology Transformation,Cognitive & Analytics,https://training.sap.com/certification/,15930,INR,
IBM Certified Solution Developer - InfoSphere DataStage v11.3,IBM,Data & Technology Transformation,Data Platform Services,http://www.ibm.com/certify,14160,INR,
IBM Certified Solution Developer - App Connect Enterprise V11,IBM,Hybrid Cloud Transformation,Cross-HCT,https://www.ibm.com/certify/cert.html?id=C0003107,118,USD,
IBM Certified Deployment Professional - Security Access Manager V9.0,IBM,Hybrid Cloud Transformation,Security & Privacy,http://www.ibm.com/certify,10000,INR,
IBM Certified Application Developer - DB2 11 for z/OS,IBM,Hybrid Cloud Management,Custom AMS,http://www.ibm.com/certify,14160,INR,
IBM Certified Deployment Professional - FileNet P8 V5.5.3,IBM,Hybrid Cloud Transformation,Cross-HCT,https://www.ibm.com/certify/cert.html?id=C0004702,118,USD,
IBM Certified Solution Deployment Professional - Application Performance Management v8.1.3,IBM,Hybrid Cloud Management,Custom AMS,http://www.ibm.com/certify,14160,INR,
IBM Certified Associate Application Developer - TRIRIGA Application Platform V3.2.1,IBM,Data & Technology Transformation,Data Platform Services,http://www.ibm.com/certify,14160,INR,
